# model split sequences_per_A_rank mtp_nextn microbatches backend
minimax_m3_fp4 4:4 8 0 2 deepep
minimax_m3_fp4 4:4 16 0 2 mega
minimax_m3_fp4 4:4 16 0 2 deepep
minimax_m3_fp4 4:4 32 0 2 mega
minimax_m3_fp4 4:4 32 0 2 deepep
minimax_m3_fp4 4:4 4 0 4 mega
minimax_m3_fp4 4:4 4 0 4 deepep
minimax_m3_fp4 4:4 8 0 4 mega
minimax_m3_fp4 4:4 8 0 4 deepep
minimax_m3_fp4 4:4 16 0 4 mega
minimax_m3_fp4 4:4 16 0 4 deepep
minimax_m3_fp4 4:4 32 0 4 mega
minimax_m3_fp4 4:4 32 0 4 deepep
minimax_m3_fp4 4:4 1 1 1 mega
minimax_m3_fp4 4:4 1 1 1 deepep
minimax_m3_fp4 4:4 4 1 1 mega
minimax_m3_fp4 4:4 4 1 1 deepep
minimax_m3_fp4 4:4 8 1 1 mega
minimax_m3_fp4 4:4 8 1 1 deepep
minimax_m3_fp4 4:4 16 1 1 mega
minimax_m3_fp4 4:4 16 1 1 deepep
minimax_m3_fp4 4:4 32 1 1 mega
minimax_m3_fp4 4:4 32 1 1 deepep
minimax_m3_fp4 4:4 2 1 2 mega
minimax_m3_fp4 4:4 2 1 2 deepep
minimax_m3_fp4 4:4 4 1 2 mega
minimax_m3_fp4 4:4 4 1 2 deepep
minimax_m3_fp4 4:4 8 1 2 mega
minimax_m3_fp4 4:4 8 1 2 deepep
minimax_m3_fp4 4:4 16 1 2 mega
minimax_m3_fp4 4:4 16 1 2 deepep
minimax_m3_fp4 4:4 32 1 2 mega
minimax_m3_fp4 4:4 32 1 2 deepep
minimax_m3_fp4 4:4 4 1 4 mega
minimax_m3_fp4 4:4 4 1 4 deepep
minimax_m3_fp4 4:4 8 1 4 mega
minimax_m3_fp4 4:4 8 1 4 deepep
minimax_m3_fp4 4:4 16 1 4 mega
minimax_m3_fp4 4:4 16 1 4 deepep
minimax_m3_fp4 4:4 32 1 4 mega
minimax_m3_fp4 4:4 32 1 4 deepep
minimax_m3_fp4 4:4 1 2 1 mega
minimax_m3_fp4 4:4 1 2 1 deepep
minimax_m3_fp4 4:4 4 2 1 mega
minimax_m3_fp4 4:4 4 2 1 deepep
minimax_m3_fp4 4:4 8 2 1 mega
minimax_m3_fp4 4:4 8 2 1 deepep
minimax_m3_fp4 4:4 16 2 1 mega
minimax_m3_fp4 4:4 16 2 1 deepep
minimax_m3_fp4 4:4 32 2 1 mega
minimax_m3_fp4 4:4 32 2 1 deepep
minimax_m3_fp4 4:4 2 2 2 mega
minimax_m3_fp4 4:4 2 2 2 deepep
minimax_m3_fp4 4:4 4 2 2 mega
minimax_m3_fp4 4:4 4 2 2 deepep
minimax_m3_fp4 4:4 8 2 2 mega
minimax_m3_fp4 4:4 8 2 2 deepep
minimax_m3_fp4 4:4 16 2 2 mega
minimax_m3_fp4 4:4 16 2 2 deepep
minimax_m3_fp4 4:4 32 2 2 mega
minimax_m3_fp4 4:4 32 2 2 deepep
minimax_m3_fp4 4:4 4 2 4 mega
minimax_m3_fp4 4:4 4 2 4 deepep
minimax_m3_fp4 4:4 8 2 4 mega
minimax_m3_fp4 4:4 8 2 4 deepep
minimax_m3_fp4 4:4 16 2 4 mega
minimax_m3_fp4 4:4 16 2 4 deepep
minimax_m3_fp4 4:4 32 2 4 mega
minimax_m3_fp4 4:4 32 2 4 deepep
deepseek_v4_flash_fp4 4:4 1 0 1 mega
deepseek_v4_flash_fp4 4:4 1 0 1 deepep
deepseek_v4_flash_fp4 4:4 4 0 1 mega
deepseek_v4_flash_fp4 4:4 4 0 1 deepep
deepseek_v4_flash_fp4 4:4 8 0 1 mega
deepseek_v4_flash_fp4 4:4 8 0 1 deepep
deepseek_v4_flash_fp4 4:4 16 0 1 mega
deepseek_v4_flash_fp4 4:4 16 0 1 deepep
deepseek_v4_flash_fp4 4:4 32 0 1 mega
deepseek_v4_flash_fp4 4:4 32 0 1 deepep
deepseek_v4_flash_fp4 4:4 2 0 2 mega
deepseek_v4_flash_fp4 4:4 2 0 2 deepep
deepseek_v4_flash_fp4 4:4 4 0 2 mega
deepseek_v4_flash_fp4 4:4 4 0 2 deepep
deepseek_v4_flash_fp4 4:4 8 0 2 mega
deepseek_v4_flash_fp4 4:4 8 0 2 deepep
deepseek_v4_flash_fp4 4:4 16 0 2 mega
deepseek_v4_flash_fp4 4:4 16 0 2 deepep
deepseek_v4_flash_fp4 4:4 32 0 2 mega
deepseek_v4_flash_fp4 4:4 32 0 2 deepep
deepseek_v4_flash_fp4 4:4 4 0 4 mega
deepseek_v4_flash_fp4 4:4 4 0 4 deepep
deepseek_v4_flash_fp4 4:4 8 0 4 mega
deepseek_v4_flash_fp4 4:4 8 0 4 deepep
deepseek_v4_flash_fp4 4:4 16 0 4 mega
deepseek_v4_flash_fp4 4:4 16 0 4 deepep
deepseek_v4_flash_fp4 4:4 32 0 4 mega
deepseek_v4_flash_fp4 4:4 32 0 4 deepep
deepseek_v4_flash_fp4 4:4 1 2 1 mega
deepseek_v4_flash_fp4 4:4 1 2 1 deepep
deepseek_v4_flash_fp4 4:4 4 2 1 mega
deepseek_v4_flash_fp4 4:4 4 2 1 deepep
deepseek_v4_flash_fp4 4:4 8 2 1 mega
